zcta,hospitalizations,deaths
10001,253.5,36.2
10002,212.4,101
10003,152.1,59.3
10004,437.3,0
10005,194.1,0
10006,207,0
10007,128.7,0
10009,167.8,82.2
10010,207,48
10011,158.8,62.4
10012,177,47.5
10013,215.2,38.2
10014,197.8,62.6
10016,178.8,62.8
10017,249.8,64
10018,212,42.4
10019,206.9,57.4
10021,181,82.9
10022,213.6,71.2
10023,124.5,59.8
10024,162.4,75.3
10025,164.7,91.6
10026,253.4,85.4
10027,217.6,74.2
10028,141.3,44.4
10029,214.9,94.7
10030,362.3,133.2
10031,230.4,106.7
10032,255.3,95.2
10033,265,92.3
10034,255.5,97.1
10035,351.9,181.7
10036,312.1,113.8
10037,456.7,182.7
10038,284.2,100.6
10039,378.9,169.2
10040,282,141
10044,428.5,257
10065,200.7,57.3
10069,302.2,0
10075,269,138.8
10128,146.9,49.6
10280,117.7,0
10282,287.2,125.6
10301,359.7,141.4
10302,562.5,135.3
10303,415,132
10304,322.2,176.7
10305,270.6,112
10306,293.5,158.9
10307,315.1,67.1
10308,254.9,77.1
10309,276.3,112.3
10310,422.4,132.2
10312,201.5,77
10314,189,112.4
10451,314.4,120.4
10452,232.7,101
10453,245.5,77.5
10454,346.3,148.1
10455,298.4,124
10456,202.9,82.7
10457,238.7,97.7
10458,212.8,78.7
10459,302.9,131.6
10460,275.4,91.8
10461,291.3,138.5
10462,244.3,96.9
10463,217.1,131.5
10464,443.3,0
10465,276.1,106.7
10466,208.8,72.9
10467,193,96
10468,232.5,105.6
10469,231.2,111.5
10470,480.2,86.7
10471,381.2,211.8
10472,266.1,111.8
10473,272.4,116.7
10474,509.7,125.3
10475,301.7,140.4
11004,385.5,237.5
11101,238.9,92.4
11102,382.8,179.7
11103,251.8,111.6
11104,286.9,133.7
11105,215.4,102.3
11106,261.7,85.5
11109,208.4,0
11201,152.4,89.9
11203,211.5,107.7
11204,237.4,96.1
11205,258.1,77.1
11206,190.4,73.7
11207,198.8,84.2
11208,190.6,77.4
11209,220.6,87.3
11210,234.4,91.4
11211,174.1,58
11212,232.6,101.5
11213,235.4,102.2
11214,194,97
11215,124.9,44.5
11216,198.9,107.5
11217,212.8,107.7
11218,214.9,74.3
11219,233.1,67.8
11220,198.7,77.2
11221,180.5,83.5
11222,187.9,69.2
11223,218.5,89.6
11224,337.2,162
11225,214,88.6
11226,176.8,85.2
11228,240.2,115.6
11229,210.8,99.5
11230,234,94.3
11231,192.7,77.6
11232,369.3,96
11233,188.4,104.9
11234,180.7,76.5
11235,236.6,133
11236,177.1,80.3
11237,247.9,102.1
11238,214.7,89.6
11239,752.6,414.8
11354,311.7,155.8
11355,210.4,88.7
11356,385.5,118.3
11357,297.1,129.2
11358,238.9,83.3
11360,357.3,110.3
11361,288.3,125.1
11362,342.4,127
11363,519.5,89.1
11364,193.2,58.8
11365,253.4,102.8
11366,394.2,147.8
11367,302.4,95.9
11368,198.4,78
11369,407.3,169.5
11370,327.3,119.6
11372,276.8,131.8
11373,200.6,79.6
11374,309,142.5
11375,214.7,92.6
11377,186.7,95.2
11378,254.6,110.7
11379,305.8,161
11385,158.4,68.5
11411,332.3,126.3
11412,288.8,107.5
11413,254.6,108.8
11414,324.5,158.7
11415,445.2,222.6
11416,432,155.2
11417,325.3,90.2
11418,316.7,135.7
11419,282.5,115.4
11420,257.2,112.9
11421,279.8,107.4
11422,330.3,129.6
11423,398,173.4
11426,372,133.9
11427,343.5,118.8
11428,446.6,166.9
11429,370.5,176.3
11432,273.4,123.5
11433,334,128.7
11434,209.8,127.3
11435,243.1,102.7
11436,448.9,94.8
11691,248.4,131.7
11692,380.5,242.5
11693,394.7,173.6
11694,351.2,197.3
11697,737.1,0